dataset,treatment,budget,time
auto93,b2,15,52.3496
auto93,b2,40,121.744
auto93,b2,9,32.6918
auto93,base,,0.7802
auto93,bonr,15,54.0233
auto93,bonr,40,121.302
auto93,bonr,9,31.1767
auto93,EI,15,167.567
auto93,EI,40,355.7416
auto93,EI,9,95.4859
auto93,ExpProgressive,15,61.661
auto93,ExpProgressive,40,125.9464
auto93,ExpProgressive,9,39.9263
auto93,PI,15,164.0481
auto93,PI,40,353.9226
auto93,PI,9,92.9886
auto93,progressive,15,67.379
auto93,progressive,40,134.1339
auto93,progressive,9,46.9629
auto93,rand,15,1.1698
auto93,rand,40,1.2963
auto93,rand,9,1.0639
auto93,SimAnnealing,15,59.053
auto93,SimAnnealing,40,117.0658
auto93,SimAnnealing,9,38.1648
auto93,UCB,15,161.1853
auto93,UCB,40,342.7273
auto93,UCB,9,92.7236
coc1000,b2,15,162.6321
coc1000,b2,40,339.8825
coc1000,b2,9,97.5335
coc1000,base,,5.2365
coc1000,bonr,15,169.3149
coc1000,bonr,40,358.3172
coc1000,bonr,9,99.985
coc1000,EI,15,355.7487
coc1000,EI,40,686.9404
coc1000,EI,9,204.5124
coc1000,ExpProgressive,15,168.7663
coc1000,ExpProgressive,40,339.2672
coc1000,ExpProgressive,9,103.9326
coc1000,PI,15,355.9071
coc1000,PI,40,688.6401
coc1000,PI,9,205.3089
coc1000,progressive,15,167.9287
coc1000,progressive,40,344.3806
coc1000,progressive,9,105.9074
coc1000,rand,15,5.9238
coc1000,rand,40,6.1368
coc1000,rand,9,5.1495
coc1000,SimAnnealing,15,171.0928
coc1000,SimAnnealing,40,338.6094
coc1000,SimAnnealing,9,105.7099
coc1000,UCB,15,337.3235
coc1000,UCB,40,672.5444
coc1000,UCB,9,201.2522
healthCloseIsses12mths0001-hard,b2,15,436.9187
healthCloseIsses12mths0001-hard,b2,40,724.4587
healthCloseIsses12mths0001-hard,b2,9,289.0165
healthCloseIsses12mths0001-hard,base,,24.201
healthCloseIsses12mths0001-hard,bonr,15,459.9595
healthCloseIsses12mths0001-hard,bonr,40,729.6545
healthCloseIsses12mths0001-hard,bonr,9,306.0321
healthCloseIsses12mths0001-hard,EI,15,838.3631
healthCloseIsses12mths0001-hard,EI,40,1495.6857
healthCloseIsses12mths0001-hard,EI,9,610.5102
healthCloseIsses12mths0001-hard,ExpProgressive,15,462.8163
healthCloseIsses12mths0001-hard,ExpProgressive,40,720.2144
healthCloseIsses12mths0001-hard,ExpProgressive,9,309.9393
healthCloseIsses12mths0001-hard,PI,15,843.9364
healthCloseIsses12mths0001-hard,PI,40,1437.6915
healthCloseIsses12mths0001-hard,PI,9,614.8473
healthCloseIsses12mths0001-hard,progressive,15,465.5078
healthCloseIsses12mths0001-hard,progressive,40,731.7714
healthCloseIsses12mths0001-hard,progressive,9,314.1303
healthCloseIsses12mths0001-hard,rand,15,26.8954
healthCloseIsses12mths0001-hard,rand,40,26.2313
healthCloseIsses12mths0001-hard,rand,9,26.926
healthCloseIsses12mths0001-hard,SimAnnealing,15,458.577
healthCloseIsses12mths0001-hard,SimAnnealing,40,720.8026
healthCloseIsses12mths0001-hard,SimAnnealing,9,298.1433
healthCloseIsses12mths0001-hard,UCB,15,827.9308
healthCloseIsses12mths0001-hard,UCB,40,1414.8083
healthCloseIsses12mths0001-hard,UCB,9,601.8186
pom3a,b2,15,93.3739
pom3a,b2,40,192.8669
pom3a,b2,9,54.6982
pom3a,base,,1.6742
pom3a,bonr,15,97.5962
pom3a,bonr,40,195.682
pom3a,bonr,9,59.3036
pom3a,EI,15,228.6851
pom3a,EI,40,476.4766
pom3a,EI,9,131.2733
pom3a,ExpProgressive,15,106.6297
pom3a,ExpProgressive,40,208.6894
pom3a,ExpProgressive,9,65.6175
pom3a,PI,15,208.3399
pom3a,PI,40,459.2913
pom3a,PI,9,122.1586
pom3a,progressive,15,113.4584
pom3a,progressive,40,211.878
pom3a,progressive,9,73.119
pom3a,rand,15,1.9853
pom3a,rand,40,2.3998
pom3a,rand,9,2.2127
pom3a,SimAnnealing,15,98.2496
pom3a,SimAnnealing,40,200.4265
pom3a,SimAnnealing,9,61.4228
pom3a,UCB,15,206.3608
pom3a,UCB,40,458.9856
pom3a,UCB,9,124.2376
pom3b,b2,15,85.734
pom3b,b2,40,180.5737
pom3b,b2,9,51.7647
pom3b,base,,1.8236
pom3b,bonr,15,89.3003
pom3b,bonr,40,187.7599
pom3b,bonr,9,55.5331
pom3b,EI,15,201.1219
pom3b,EI,40,432.8972
pom3b,EI,9,108.5017
pom3b,ExpProgressive,15,94.2475
pom3b,ExpProgressive,40,194.0291
pom3b,ExpProgressive,9,61.7372
pom3b,PI,15,208.5687
pom3b,PI,40,431.0868
pom3b,PI,9,113.5636
pom3b,progressive,15,99.4457
pom3b,progressive,40,198.3853
pom3b,progressive,9,67.4787
pom3b,rand,15,1.7325
pom3b,rand,40,1.9094
pom3b,rand,9,1.7309
pom3b,SimAnnealing,15,90.3679
pom3b,SimAnnealing,40,189.9104
pom3b,SimAnnealing,9,58.9733
pom3b,UCB,15,203.6562
pom3b,UCB,40,429.4829
pom3b,UCB,9,115.1874
pom3c,b2,15,89.5997
pom3c,b2,40,182.9275
pom3c,b2,9,55.4285
pom3c,base,,1.6394
pom3c,bonr,15,93.6819
pom3c,bonr,40,194.1625
pom3c,bonr,9,54.7955
pom3c,EI,15,220.9044
pom3c,EI,40,438.3057
pom3c,EI,9,119.0731
pom3c,ExpProgressive,15,99.5738
pom3c,ExpProgressive,40,194.42
pom3c,ExpProgressive,9,62.5859
pom3c,PI,15,208.2094
pom3c,PI,40,448.8322
pom3c,PI,9,116.3092
pom3c,progressive,15,105.8654
pom3c,progressive,40,204.0954
pom3c,progressive,9,72.4
pom3c,rand,15,2.799
pom3c,rand,40,2.4063
pom3c,rand,9,2.6697
pom3c,SimAnnealing,15,100.677
pom3c,SimAnnealing,40,193.8042
pom3c,SimAnnealing,9,61.861
pom3c,UCB,15,208.1358
pom3c,UCB,40,439.1133
pom3c,UCB,9,118.4842
rs-6d-c3_obj1,b2,15,254.1116
rs-6d-c3_obj1,b2,40,489.634
rs-6d-c3_obj1,b2,9,157.5109
rs-6d-c3_obj1,base,,8.4717
rs-6d-c3_obj1,bonr,15,263.6216
rs-6d-c3_obj1,bonr,40,489.7995
rs-6d-c3_obj1,bonr,9,162.3071
rs-6d-c3_obj1,EI,15,599.0038
rs-6d-c3_obj1,EI,40,938.7989
rs-6d-c3_obj1,EI,9,387.8233
rs-6d-c3_obj1,ExpProgressive,15,265.9112
rs-6d-c3_obj1,ExpProgressive,40,484.6967
