dataset,treatment,budget,time
auto93,b2,15,55.9579
auto93,b2,40,138.9324
auto93,b2,9,32.1733
auto93,base,,0.0574
auto93,bonr,15,53.994
auto93,bonr,40,145.0631
auto93,bonr,9,25.1675
auto93,EI,15,612.6457
auto93,EI,9,349.8512
auto93,ExpProgressive,15,74.0318
auto93,ExpProgressive,40,176.4466
auto93,ExpProgressive,9,28.3273
auto93,PI,15,497.82
auto93,PI,40,1207.4498
auto93,PI,9,338.6315
auto93,progressive,15,84.8986
auto93,progressive,40,139.6096
auto93,rand,15,0.7983
auto93,rand,40,0.9659
auto93,rand,9,0.8
auto93,SimAnnealing,15,59.1681
auto93,SimAnnealing,40,139.173
auto93,SimAnnealing,9,24.4309
auto93,UCB,15,561.8322
auto93,UCB,40,1189.3285
auto93,UCB,9,328.2202
coc1000,b2,15,254.8106
coc1000,b2,40,586.0584
coc1000,b2,9,129.7639
coc1000,base,,5.7882
coc1000,bonr,15,217.5157
coc1000,bonr,40,577.7673
coc1000,bonr,9,118.4255
coc1000,EI,15,1812.2789
coc1000,EI,40,2984.6837
coc1000,EI,9,1058.0865
coc1000,ExpProgressive,15,245.5041
coc1000,ExpProgressive,40,596.1807
coc1000,ExpProgressive,9,138.3436
coc1000,PI,15,1750.3095
coc1000,PI,40,3012.9896
coc1000,PI,9,1137.0935
coc1000,progressive,15,267.2863
coc1000,progressive,40,557.4702
coc1000,progressive,9,141.3239
coc1000,rand,15,6.743
coc1000,rand,40,7.0952
coc1000,rand,9,5.4867
coc1000,SimAnnealing,15,251.129
coc1000,SimAnnealing,40,630.1298
coc1000,SimAnnealing,9,141.7866
coc1000,UCB,15,1713.7357
coc1000,UCB,40,2967.6181
coc1000,UCB,9,1120.4174
healthCloseIsses12mths0001-hard,b2,15,807.9452
healthCloseIsses12mths0001-hard,b2,40,1561.4411
healthCloseIsses12mths0001-hard,b2,9,440.5191
healthCloseIsses12mths0001-hard,base,,28.9176
healthCloseIsses12mths0001-hard,bonr,15,854.4681
healthCloseIsses12mths0001-hard,bonr,40,1582.4159
healthCloseIsses12mths0001-hard,bonr,9,492.9302
healthCloseIsses12mths0001-hard,EI,15,3495.6221
healthCloseIsses12mths0001-hard,EI,40,5428.8301
healthCloseIsses12mths0001-hard,EI,9,2511.3338
healthCloseIsses12mths0001-hard,ExpProgressive,15,862.5895
healthCloseIsses12mths0001-hard,ExpProgressive,40,1563.7372
healthCloseIsses12mths0001-hard,ExpProgressive,9,462.2505
healthCloseIsses12mths0001-hard,PI,15,3475.0143
healthCloseIsses12mths0001-hard,PI,40,5410.2697
healthCloseIsses12mths0001-hard,PI,9,2549.5417
healthCloseIsses12mths0001-hard,progressive,15,844.8108
healthCloseIsses12mths0001-hard,progressive,40,1609.7442
healthCloseIsses12mths0001-hard,progressive,9,480.1778
healthCloseIsses12mths0001-hard,rand,15,31.3905
healthCloseIsses12mths0001-hard,rand,40,33.1868
healthCloseIsses12mths0001-hard,rand,9,31.1864
healthCloseIsses12mths0001-hard,SimAnnealing,15,818.174
healthCloseIsses12mths0001-hard,SimAnnealing,40,1530.7137
healthCloseIsses12mths0001-hard,SimAnnealing,9,461.8485
healthCloseIsses12mths0001-hard,UCB,15,3484.5781
healthCloseIsses12mths0001-hard,UCB,40,5358.6191
healthCloseIsses12mths0001-hard,UCB,9,2518.5054
pom3a,b2,15,119.6752
pom3a,b2,40,235.2165
pom3a,b2,9,70.3781
pom3a,base,,2.1283
pom3a,bonr,15,113.8877
pom3a,bonr,40,263.1243
pom3a,bonr,9,73.4978
pom3a,EI,15,877.5522
pom3a,EI,40,1824.5597
pom3a,EI,9,518.5596
pom3a,ExpProgressive,15,114.6298
pom3a,ExpProgressive,40,293.4738
pom3a,ExpProgressive,9,62.1548
pom3a,PI,15,923.0127
pom3a,PI,40,1733.7371
pom3a,PI,9,534.9169
